player_name,matches_played,total_runs,total_50s
Nicholas Pooran,265,7285,47
Babar Azam,147,5429,47
Jos Buttler,178,6361,46
Faf du Plessis,181,5929,45
Alex Hales,224,6564,44
James Vince,195,6178,41
Suryakumar Yadav,171,5408,41
Virat Kohli,117,4177,38
Colin Munro,177,5043,34
Devon Conway,119,3853,33
Philip Salt,191,5033,31
Dawid Malan,141,3863,31
David Warner,117,3562,31
William Jacks,157,4316,30
Rahmanullah Gurbaz,207,5065,29
Jason Roy,168,4452,27
Sai Sudharsan,77,3240,27
Shimron Hetmyer,218,4675,27
Fakhar Zaman,144,3922,27
Chris Lynn,112,3654,26
